City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,sao filipe,14.8961,-24.4956,74.17,73,95,5.37,CV,1681384925
158,kirkenaer,60.4564,12.0582,42.33,98,100,13.98,NO,1681384926
159,champasak,14.75,106.0,77.85,82,88,2.89,LA,1681384928
160,oshawa,43.9001,-78.8496,61.68,85,0,2.3,CA,1681384928
161,dalmatovo,56.26,62.9362,59.77,28,100,17.92,RU,1681384928
162,ketchikan,55.3422,-131.6461,37.38,93,100,10.36,US,1681384929
163,kirakira,-10.4544,161.9205,79.81,82,48,0.69,SB,1681384929
164,longyearbyen,78.2186,15.6401,31.84,93,75,2.3,SJ,1681384929
165,faanui,-16.4833,-151.75,81.99,68,15,14.07,PF,1681384931
166,arzamas,55.3949,43.8399,58.98,38,94,15.64,RU,1681384931
167,acapulco,16.8634,-99.8901,76.82,69,0,5.75,MX,1681384932
168,clyde river,70.4692,-68.5914,5.23,72,100,21.85,CA,1681384932
169,cabo san lucas,22.8909,-109.9124,67.51,54,100,13.04,MX,1681384932
170,kodiak,57.79,-152.4072,36.91,65,100,0.0,US,1681384710
171,birao,10.2849,22.7882,101.41,13,10,9.31,CF,1681384933
172,nome,64.5011,-165.4064,-13.85,84,0,0.0,US,1681384933
173,denpasar,-8.65,115.2167,78.46,83,40,4.61,ID,1681384669
174,santo antonio do ica,-3.1022,-67.9397,73.62,98,100,1.39,BR,1681384933
175,bogandinskiy,56.8937,65.8938,37.67,66,84,13.51,RU,1681384934
176,cradock,-32.1642,25.6192,73.24,16,100,5.21,ZA,1681384934
177,norrtalje,59.758,18.705,44.78,94,100,15.82,SE,1681384934
178,ampanihy,-24.7,44.75,79.23,60,71,11.72,MG,1681384935
179,batemans bay,-35.7167,150.1833,63.1,90,94,9.51,AU,1681384935
180,ola,59.5833,151.2833,17.47,75,26,13.02,RU,1681384935
181,tasiilaq,65.6145,-37.6368,35.76,88,100,3.58,GL,1681384936
182,te anau,-45.4167,167.7167,48.22,96,56,2.55,NZ,1681384666
183,baykit,61.67,96.37,33.12,95,100,10.33,RU,1681384936
184,san patricio,28.017,-97.5169,67.84,87,0,4.65,US,1681384936
185,pampa,35.5362,-100.9599,56.35,53,0,16.82,US,1681384801
186,ust-tsilma,65.441,52.1498,17.26,69,6,7.02,RU,1681384937
187,port lincoln,-34.7333,135.8667,60.71,70,0,9.93,AU,1681384937
188,san vicente,-26.6167,-54.1333,65.82,75,11,1.43,AR,1681384937
189,piacabucu,-10.4056,-36.4344,80.73,78,65,10.27,BR,1681384938
190,ust-kuyga,70.0167,135.6,8.62,90,97,2.86,RU,1681384938
191,kruisfontein,-34.0033,24.7314,75.88,30,87,14.07,ZA,1681384938
192,carnarvon,-24.8667,113.6333,72.68,66,7,23.82,AU,1681384939
193,kralendijk,12.15,-68.2667,78.78,78,40,13.8,BQ,1681384939
194,kedrovyy,56.1667,91.8167,37.87,60,100,13.2,RU,1681384939
195,filadelfia,39.9523,-75.1638,66.2,64,0,6.91,US,1681384663
196,buraydah,26.326,43.975,70.25,16,55,2.33,SA,1681384940
